game_id,season,week,season_type,date,neutral_site,conference_game,home_team,away_team,home_conference,away_conference,home_division,away_division,home_points,away_points,spread_home,n_books_spread,ml_home,ml_away,n_books_ml,dog,dog_team,fav_team,dog_conference,fav_conference,dog_line,dog_line_open,dog_spread_price,fav_spread_price,dog_ml,fav_ml,dog_source,dog_margin,dog_rest,fav_rest
401013366,2018,11,regular,2018-11-10,FALSE,FALSE,Massachusetts,BYU,FBS Independents,FBS Independents,fbs,fbs,16,35,14.0,42,450.0,-600.0,19,home,Massachusetts,BYU,FBS Independents,FBS Independents,14.0,13.5,-110.0,-110.0,450.0,-600.0,spread,-19.0,7,6
401013367,2018,2,regular,2018-09-08,FALSE,FALSE,Army,Liberty,FBS Independents,FBS Independents,fbs,fbs,38,14,-7.5,42,-290.0,236.0,21,away,Liberty,Army,FBS Independents,FBS Independents,7.5,11.0,-110.0,-105.0,236.0,-290.0,spread,-24.0,7,8
401013369,2018,5,regular,2018-09-29,FALSE,FALSE,Buffalo,Army,Mid-American,FBS Independents,fbs,fbs,13,42,-7.0,42,-275.0,230.0,21,away,Army,Buffalo,FBS Independents,Mid-American,7.0,6.0,-107.0,-110.0,230.0,-275.0,spread,29.0,7,7
401013370,2018,7,regular,2018-10-13,TRUE,FALSE,San José State,Army,Mountain West,FBS Independents,fbs,fbs,3,52,17.5,42,650.0,-900.0,21,home,San José State,Army,Mountain West,FBS Independents,17.5,17.0,-110.0,-110.0,650.0,-900.0,spread,-49.0,6,14
401013371,2018,8,regular,2018-10-20,FALSE,FALSE,Army,Miami (OH),FBS Independents,Mid-American,fbs,fbs,31,30,-6.5,42,-250.0,210.0,21,away,Miami (OH),Army,Mid-American,FBS Independents,6.5,11.5,-106.0,-110.0,210.0,-250.0,spread,-1.0,7,7
401013372,2018,9,regular,2018-10-27,FALSE,FALSE,Eastern Michigan,Army,Mid-American,FBS Independents,fbs,fbs,22,37,1.5,42,110.0,-129.0,19,home,Eastern Michigan,Army,Mid-American,FBS Independents,1.5,,-110.0,-110.0,110.0,-129.0,spread,-15.0,7,7
401013373,2018,10,regular,2018-11-03,FALSE,FALSE,Army,Air Force,FBS Independents,Mountain West,fbs,fbs,17,14,-4.5,42,-205.0,175.0,21,away,Air Force,Army,Mountain West,FBS Independents,4.5,7.0,-106.0,-110.0,175.0,-205.0,spread,-3.0,7,7
401013374,2018,11,regular,2018-11-10,FALSE,FALSE,Army,Lafayette,FBS Independents,Patriot,fbs,fcs,31,13,-46.0,34,-225000.0,75000.0,1,away,Lafayette,Army,Patriot,FBS Independents,46.0,44.5,-110.0,-110.0,75000.0,-225000.0,spread,-18.0,7,7
401013375,2018,12,regular,2018-11-17,FALSE,FALSE,Army,Colgate,FBS Independents,Patriot,fbs,fcs,28,14,-10.75,40,-420.0,330.0,7,away,Colgate,Army,Patriot,FBS Independents,10.75,10.5,-110.0,-110.0,330.0,-420.0,spread,-14.0,7,7
401013376,2018,15,regular,2018-12-08,TRUE,FALSE,Army,Navy,FBS Independents,American Athletic,fbs,fbs,17,10,-7.5,36,-337.5,270.5,18,away,Navy,Army,American Athletic,FBS Independents,7.5,7.0,-110.0,-110.0,270.5,-337.5,spread,-7.0,14,21
401013377,2018,2,regular,2018-09-08,FALSE,FALSE,Notre Dame,Ball State,FBS Independents,Mid-American,fbs,fbs,24,16,-34.0,42,-22224.7,8250.0,4,away,Ball State,Notre Dame,Mid-American,FBS Independents,34.0,34.5,-110.0,-110.0,8250.0,-22224.7,spread,-8.0,9,7
401013437,2018,1,regular,2018-08-26,FALSE,FALSE,New Mexico State,Wyoming,FBS Independents,Mountain West,fbs,fbs,7,29,5.5,42,190.0,-225.0,21,home,New Mexico State,Wyoming,FBS Independents,Mountain West,5.5,5.5,-110.0,-110.0,190.0,-225.0,spread,-22.0,,
401013438,2018,2,regular,2018-09-09,FALSE,FALSE,Utah State,New Mexico State,Mountain West,FBS Independents,fbs,fbs,60,13,-21.5,42,-1500.0,885.0,15,away,New Mexico State,Utah State,FBS Independents,Mountain West,21.5,21.5,-110.0,-110.0,885.0,-1500.0,spread,-47.0,10,9
401013439,2018,3,regular,2018-09-16,FALSE,FALSE,New Mexico State,New Mexico,FBS Independents,Mountain West,fbs,fbs,25,42,3.0,42,135.0,-155.0,21,home,New Mexico State,New Mexico,FBS Independents,Mountain West,3.0,7.5,-105.0,-115.0,135.0,-155.0,spread,-17.0,7,8
401013440,2018,4,regular,2018-09-22,FALSE,FALSE,UTEP,New Mexico State,Conference USA,FBS Independents,fbs,fbs,20,27,5.5,42,184.0,-220.0,21,home,UTEP,New Mexico State,Conference USA,FBS Independents,5.5,2.5,-110.0,-110.0,184.0,-220.0,spread,-7.0,7,6
401013441,2018,6,regular,2018-10-07,FALSE,FALSE,New Mexico State,Liberty,FBS Independents,FBS Independents,fbs,fbs,49,41,3.5,42,144.0,-164.0,21,home,New Mexico State,Liberty,FBS Independents,FBS Independents,3.5,4.0,-110.0,-106.0,144.0,-164.0,spread,8.0,15,8
401013442,2018,7,regular,2018-10-13,FALSE,FALSE,Louisiana,New Mexico State,Sun Belt,FBS Independents,fbs,fbs,66,38,-7.0,42,-275.0,226.0,21,away,New Mexico State,Louisiana,FBS Independents,Sun Belt,7.0,8.0,-110.0,-105.0,226.0,-275.0,spread,-28.0,6,7
401013443,2018,8,regular,2018-10-20,FALSE,FALSE,New Mexico State,Georgia Southern,FBS Independents,Sun Belt,fbs,fbs,31,48,9.5,42,280.0,-340.0,21,home,New Mexico State,Georgia Southern,FBS Independents,Sun Belt,9.5,13.0,-110.0,-110.0,280.0,-340.0,spread,-17.0,7,9
401013444,2018,9,regular,2018-10-27,FALSE,FALSE,Texas State,New Mexico State,Sun Belt,FBS Independents,fbs,fbs,27,20,0.0,42,-105.0,-110.0,21,home,Texas State,New Mexico State,Sun Belt,FBS Independents,0.0,,-110.0,-110.0,-105.0,-110.0,moneyline,7.0,7,7
401013445,2018,10,regular,2018-11-03,FALSE,FALSE,New Mexico State,Alcorn State,FBS Independents,SWAC,fbs,fcs,52,42,-12.5,28,-470.0,370.0,5,away,Alcorn State,New Mexico State,SWAC,FBS Independents,12.5,12.5,-110.0,-110.0,370.0,-470.0,spread,-10.0,7,7
401013446,2018,12,regular,2018-11-18,FALSE,FALSE,BYU,New Mexico State,FBS Independents,FBS Independents,fbs,fbs,45,10,-25.5,42,-3212.9,1431.5,14,away,New Mexico State,BYU,FBS Independents,FBS Independents,25.5,23.5,-110.0,-110.0,1431.5,-3212.9,spread,-35.0,15,8
401013447,2018,13,regular,2018-11-24,FALSE,FALSE,Liberty,New Mexico State,FBS Independents,FBS Independents,fbs,fbs,28,21,-7.0,36,-277.0,230.0,18,away,New Mexico State,Liberty,FBS Independents,FBS Independents,7.0,9.0,-110.0,-108.0,230.0,-277.0,spread,-7.0,6,7
401013448,2018,1,regular,2018-09-01,FALSE,FALSE,Liberty,Old Dominion,FBS Independents,Conference USA,fbs,fbs,52,10,5.0,42,177.0,-210.0,21,home,Liberty,Old Dominion,FBS Independents,Conference USA,5.0,5.0,-110.0,-110.0,177.0,-210.0,spread,42.0,,
