fiscal_quarter,earnings_date_amc,next_session,close_before,close_after,move_pct,volume_vs_median,dow
Q3 (Apr qtr),2007-05-08,2007-05-09,23.4300,21.9060,-6.50,3.3,Wed
Q4 (Jul qtr),2007-08-07,2007-08-08,24.5320,26.1750,6.70,3.6,Wed
Q1 (Oct qtr),2007-11-07,2007-11-08,27.0580,24.4780,-9.54,4.4,Thu
Q2 (Jan qtr),2008-02-06,2008-02-07,19.0680,19.3170,1.31,3.5,Thu
Q3 (Apr qtr),2008-05-05,2008-05-06,21.7110,21.7540,0.20,1.8,Tue
Q4 (Jul qtr),2008-08-05,2008-08-06,18.7140,19.7710,5.65,2.3,Wed
Q1 (Oct qtr),2008-11-05,2008-11-06,14.3680,13.9950,-2.60,1.5,Thu
Q2 (Jan qtr),2009-02-04,2009-02-05,13.0890,13.5070,3.19,2.0,Thu
Q3 (Apr qtr),2009-05-06,2009-05-07,16.2020,15.6570,-3.36,1.8,Thu
Q4 (Jul qtr),2009-08-05,2009-08-06,18.3160,18.4320,0.63,1.6,Thu
Q1 (Oct qtr),2009-11-04,2009-11-05,19.2440,19.7710,2.74,2.0,Thu
Q2 (Jan qtr),2010-02-03,2010-02-04,19.0590,19.1370,0.41,2.5,Thu
Q3 (Apr qtr),2010-05-12,2010-05-13,22.0920,21.0920,-4.53,3.1,Thu
Q4 (Jul qtr),2010-08-11,2010-08-12,19.6050,17.6470,-9.99,4.8,Thu
Q1 (Oct qtr),2010-11-10,2010-11-11,20.2340,16.9540,-16.21,13.5,Thu
Q2 (Jan qtr),2011-02-09,2011-02-10,18.2100,15.6300,-14.17,12.4,Thu
Q3 (Apr qtr),2011-05-11,2011-05-12,14.7430,14.0380,-4.78,3.8,Thu
Q4 (Jul qtr),2011-08-10,2011-08-11,11.4260,13.2490,15.95,4.8,Thu
Q1 (Oct qtr),2011-11-09,2011-11-10,14.7130,15.5500,5.69,3.4,Thu
Q2 (Jan qtr),2012-02-08,2012-02-09,17.1260,16.7640,-2.11,3.2,Thu
Q3 (Apr qtr),2012-05-09,2012-05-10,15.8040,14.1460,-10.49,5.7,Thu
Q4 (Jul qtr),2012-08-15,2012-08-16,14.6670,16.0790,9.63,3.8,Thu
Q1 (Oct qtr),2012-11-13,2012-11-14,14.3510,15.0410,4.81,2.9,Wed
Q2 (Jan qtr),2013-02-13,2013-02-14,18.1370,18.0080,-0.71,2.0,Thu
Q3 (Apr qtr),2013-05-15,2013-05-16,18.3440,20.6620,12.64,5.5,Thu
Q4 (Jul qtr),2013-08-14,2013-08-15,22.9780,21.3310,-7.17,4.6,Thu
Q1 (Oct qtr),2013-11-13,2013-11-14,21.0580,18.7420,-11.00,6.9,Thu
Q2 (Jan qtr),2014-02-12,2014-02-13,20.2020,19.6870,-2.55,3.5,Thu
Q3 (Apr qtr),2014-05-14,2014-05-15,20.3390,21.5590,6.00,4.0,Thu
Q4 (Jul qtr),2014-08-13,2014-08-14,22.6390,22.0460,-2.62,2.5,Thu
Q1 (Oct qtr),2014-11-12,2014-11-13,22.7340,23.2480,2.26,2.3,Thu
Q2 (Jan qtr),2015-02-11,2015-02-12,24.5480,26.8530,9.39,4.2,Thu
Q3 (Apr qtr),2015-05-13,2015-05-14,26.9590,26.6830,-1.02,2.4,Thu
Q4 (Jul qtr),2015-08-21,2015-08-24,24.5000,23.3140,-4.84,2.6,Mon
Q1 (Oct qtr),2015-11-12,2015-11-13,25.9680,24.4550,-5.83,4.1,Fri
Q2 (Jan qtr),2016-02-10,2016-02-11,21.1670,23.2050,9.63,2.7,Thu
Q3 (Apr qtr),2016-05-18,2016-05-19,25.3550,26.1610,3.18,2.3,Thu
Q4 (Jul qtr),2016-08-16,2016-08-17,29.7990,29.4170,-1.28,2.7,Wed
Q1 (Oct qtr),2016-11-16,2016-11-17,30.4810,29.0130,-4.82,4.0,Thu
Q2 (Jan qtr),2017-02-15,2017-02-16,31.9600,32.7190,2.37,2.6,Thu
Q3 (Apr qtr),2017-05-17,2017-05-18,33.2200,30.8240,-7.21,5.5,Thu
Q4 (Jul qtr),2017-08-16,2017-08-17,32.0630,30.7740,-4.02,3.3,Thu
